4.813000000000000000e+03,3.300000000000000000e+01,2.060000000000000000e+02,2.500000000000000000e+01,2.440000000000000000e+02,2.660000000000000000e+02,6.800000000000000000e+01,4.000000000000000000e+00,2.520000000000000000e+02,1.200000000000000000e+01
7.000000000000000000e+00,6.516000000000000000e+03,8.200000000000000000e+01,8.000000000000000000e+00,4.500000000000000000e+01,5.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+01,2.400000000000000000e+01,3.900000000000000000e+01
1.950000000000000000e+02,8.000000000000000000e+00,3.762000000000000000e+03,6.150000000000000000e+02,1.900000000000000000e+01,9.430000000000000000e+02,1.370000000000000000e+02,5.700000000000000000e+01,1.400000000000000000e+02,8.200000000000000000e+01
1.700000000000000000e+01,5.000000000000000000e+00,1.880000000000000000e+02,5.278000000000000000e+03,5.000000000000000000e+00,1.060000000000000000e+02,1.000000000000000000e+00,1.900000000000000000e+02,7.400000000000000000e+01,2.670000000000000000e+02
3.850000000000000000e+02,1.410000000000000000e+02,1.790000000000000000e+02,1.600000000000000000e+01,4.151000000000000000e+03,2.900000000000000000e+01,3.320000000000000000e+02,2.200000000000000000e+01,3.480000000000000000e+02,2.390000000000000000e+02
6.800000000000000000e+01,8.000000000000000000e+00,5.820000000000000000e+02,1.140000000000000000e+02,4.000000000000000000e+00,4.304000000000000000e+03,4.900000000000000000e+01,1.160000000000000000e+02,1.670000000000000000e+02,9.000000000000000000e+00
4.450000000000000000e+02,7.200000000000000000e+01,2.040000000000000000e+02,1.000000000000000000e+00,1.070000000000000000e+02,1.510000000000000000e+02,4.660000000000000000e+03,4.000000000000000000e+00,2.710000000000000000e+02,3.000000000000000000e+00
6.700000000000000000e+01,3.600000000000000000e+01,1.500000000000000000e+01,3.010000000000000000e+02,1.000000000000000000e+00,8.500000000000000000e+01,2.000000000000000000e+00,5.448000000000000000e+03,5.700000000000000000e+01,2.530000000000000000e+02
1.850000000000000000e+02,6.300000000000000000e+01,8.700000000000000000e+01,8.800000000000000000e+01,6.500000000000000000e+01,1.380000000000000000e+02,2.900000000000000000e+02,1.400000000000000000e+01,4.638000000000000000e+03,2.830000000000000000e+02
7.600000000000000000e+01,5.400000000000000000e+01,8.800000000000000000e+01,2.590000000000000000e+02,1.260000000000000000e+02,2.300000000000000000e+01,1.000000000000000000e+01,3.170000000000000000e+02,3.440000000000000000e+02,4.652000000000000000e+03
